1,bedok reservoir road (block 104),1.329302,103.9097929,1,1,13,180219,2
1,bedok reservoir road (block 116),1.3311124,103.9086442,1,1,13,180219,2
2,bedok reservoir road (block 117),1.3314772,103.9088255,1,1,13,180219,2
4,bedok reservoir road (block 118),1.3310913,103.90912,1,1,13,180219,2
2,bedok reservoir road (block 120),1.3309592,103.9098223,1,1,13,180219,2
1,bedok reservoir road (block 121),1.33125,103.909938,1,1,13,180219,2
1,bedok reservoir road (block 125),1.3330077,103.909913,1,1,13,180219,2
1,bedok reservoir road (block 132),1.332923,103.9119068,1,1,13,180219,2
3,cashew crescent,1.371403,103.769507,2,6,11,180219,2
8,cashew road (cashew park condominium),1.3713709,103.767659,2,6,11,180219,2
5,tampines street 12 (block 143),1.348109,103.943659,3,1,6,180219,2
1,tampines street 12 (block 144),1.3484372,103.9436755,3,1,6,180219,2
1,geylang east avenue 1 (block 131),1.3167757,103.8868349,4,1,4,180219,2
1,geylang east avenue 1 (block 132),1.3162132,103.8858256,4,1,4,180219,2
2,geylang east avenue 1 (central grove),1.315965,103.884659,4,1,4,180219,2
