2,bedok reservoir road (block 123),1.3323731,103.9102772,1,3,19,180409,4
1,bedok reservoir road (block 127),1.332867,103.911183,1,3,19,180409,4
5,bedok reservoir road (block 132),1.332923,103.9119068,1,3,19,180409,4
3,bedok reservoir road (block 133),1.332419,103.911764,1,3,19,180409,4
4,bedok reservoir road (block 134),1.332773,103.912496,1,3,19,180409,4
2,bedok reservoir road (block 135),1.3331404,103.9122693,1,3,19,180409,4
1,bedok reservoir road (block 608),1.3318917,103.9130849,1,3,19,180409,4
1,bedok reservoir road (block 609a),1.3317012,103.912145,1,3,19,180409,4
9,bedok north street 3 (block 536),1.333427,103.922986,2,6,12,180409,4
3,bedok north street 3 (block 556),1.3326072,103.9226175,2,6,12,180409,4
1,jurong west street 91 (block 945),1.3442265,103.6901408,3,4,6,180409,4
2,jurong west street 91 (block 946),1.3443159,103.6905253,3,4,6,180409,4
2,jurong west street 91 (block 947),1.3436378,103.6905932,3,4,6,180409,4
1,jurong west street 91 (block 950),1.3433432,103.6908646,3,4,6,180409,4
4,cashew crescent,1.371403,103.769507,4,4,4,180409,4
2,yishun street 21 (block 201),1.4307489,103.8378901,5,2,3,180409,4
1,yishun street 21 (block 212),1.431806,103.837363,5,2,3,180409,4
2,jalan sempadan (villa marina),1.310747,103.927427,6,2,2,180409,4
1,lorong 7 toa payoh (block 8),1.337857,103.856446,7,2,2,180409,4
1,lorong 7 toa payoh (block 9),1.3377553,103.8578615,7,2,2,180409,4
