Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Monkeypox,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
11,13/3/2022 - 19/3/2022,,0,1,0,0,0,0,0,0,421,0,0,0,34,0,0,0,2,0,0,0,0,0,18,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2071,37,269,4
12,20/3/2022 - 26/3/2022,,2,0,1,0,1,0,0,0,441,0,1,0,30,0,0,0,4,0,0,0,1,0,20,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,1817,41,326,3
13,27/3/2022 - 2/4/2022,,0,0,3,1,1,0,0,0,510,0,0,0,23,0,0,0,1,0,0,0,1,0,17,1,0,0,0,0,1,0,36,0,0,0,0,0,0,0,1497,36,328,3
14,3/4/2022 - 9/4/2022,,3,0,0,2,1,0,0,0,642,1,0,0,38,0,0,0,1,0,0,0,0,0,16,1,2,0,0,0,1,0,33,0,0,0,0,0,0,0,1469,40,374,2
15,10/4/2022 - 16/4/2022,,0,1,0,0,1,0,0,0,733,1,0,0,37,0,0,0,3,0,0,0,1,0,22,1,1,0,0,0,4,0,34,0,0,0,0,0,0,0,1439,43,388,4
16,17/4/2022 - 23/4/2022,,0,0,1,0,0,0,0,0,942,0,0,0,49,0,0,0,5,0,0,0,1,1,17,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,1467,37,408,4
17,24/4/2022 - 30/4/2022,,0,0,1,0,0,0,0,0,1002,1,0,0,59,0,0,0,3,0,0,0,2,0,16,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,1431,40,416,4
18,1/5/2022 - 7/5/2022,,1,0,6,0,1,0,0,0,845,1,1,0,32,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,37,0,0,0,0,0,0,0,1663,45,499,2
19,8/5/2022 - 14/5/2022,,0,1,3,0,1,0,0,0,1311,4,1,1,71,0,0,0,2,0,0,0,0,2,17,2,3,0,0,0,0,0,24,0,0,0,0,0,0,0,1708,39,438,4
20,15/5/2022 - 21/5/2022,,0,0,3,0,1,0,0,0,1273,3,0,2,46,0,0,0,1,0,0,0,1,2,17,1,1,0,0,0,0,0,30,0,0,0,0,0,0,0,1975,42,412,3
21,22/5/2022 - 28/5/2022,,0,0,2,0,0,0,0,0,1563,4,1,0,90,0,0,0,3,0,0,0,1,0,17,0,4,1,0,0,1,0,33,0,0,0,0,0,0,0,1889,40,404,4
22,29/5/2022 - 4/6/2022,,0,0,3,0,0,0,0,0,1451,3,2,2,89,0,0,0,3,0,0,0,0,1,18,0,3,0,0,0,1,0,22,0,0,0,0,0,0,1,1650,32,340,3
23,5/6/2022 - 11/6/2022,,0,0,0,0,0,0,0,0,1459,1,0,2,79,0,1,0,0,0,0,0,0,0,22,1,0,1,0,0,0,1,44,0,0,0,0,0,0,0,1744,32,362,4
24,12/6/2022 - 18/6/2022,,0,0,3,0,0,0,0,0,1253,1,0,0,83,0,0,0,6,0,0,0,1,0,14,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,1806,40,340,5
25,19/6/2022 - 25/6/2022,,0,0,0,0,0,0,0,0,1171,1,0,0,90,0,0,1,5,0,0,0,0,0,9,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,2093,39,352,6
26,26/6/2022 - 2/7/2022,,0,0,3,1,1,,0,0,1186,1,0,1,141,0,0,0,6,0,0,0,0,1,14,0,0,1,0,0,1,0,31,0,0,0,0,0,0,0,2576,45,387,5
27,3/7/2022 - 9/7/2022,,0,0,0,1,2,0,0,0,1164,0,0,0,128,0,0,3,5,0,0,0,0,0,10,0,1,0,,0,1,0,23,0,0,0,0,0,0,0,2910,36,382,3
28,10/7/2022 - 16/7/2022,,0,1,0,1,3,0,0,0,918,0,0,2,107,0,0,2,4,0,0,0,1,0,7,0,2,1,0,0,3,0,33,0,0,0,0,0,0,0,3217,36,366,4
29,17/7/2022 - 23/7/2022,,0,0,4,3,0,0,0,0,1035,1,1,1,93,0,0,0,4,0,0,0,1,0,9,0,1,0,0,0,1,0,35,0,,0,0,0,0,0,3018,41,367,4
30,24/7/2022 - 30/7/2022,,0,0,2,1,1,0,0,0,1092,0,1,2,127,0,0,5,9,0,0,0,1,1,3,0,2,1,1,0,0,0,18,0,0,0,0,0,0,0,2907,39,374,3
31,31/7/2022 - 6/8/2022,,0,0,2,0,1,0,0,0,894,2,0,1,124,0,0,4,9,0,0,0,1,1,5,0,1,0,0,0,1,0,21,0,0,0,0,0,0,0,2667,41,400,4
32,7/8/2022 - 13/8/2022,,0,0,2,0,1,,0,0,879,0,0,0,143,,1,0,6,0,0,0,0,0,4,0,2,1,0,0,1,0,11,0,0,0,0,0,0,1,2674,44,406,4
33,14/8/2022 - 20/8/2022,,0,0,1,1,0,0,0,0,679,0,0,0,141,0,0,1,2,0,0,0,1,0,6,0,1,0,0,0,4,0,17,0,0,0,0,0,0,1,2326,43,395,4
34,21/8/2022 - 27/8/2022,,0,0,3,0,2,0,0,0,661,1,1,0,135,0,0,0,3,0,0,0,0,1,3,1,1,0,0,0,1,0,26,0,1,0,0,0,0,0,2121,47,399,3
35,28/8/2022 - 3/9/2022,,0,0,3,1,0,0,0,0,577,4,0,0,170,0,0,0,3,0,0,0,1,1,2,0,3,1,0,0,1,0,39,0,0,0,0,0,0,0,1998,44,357,3
36,4/9/2022 - 10/9/2022,,0,1,3,0,2,0,0,0,569,1,0,1,139,0,0,3,5,0,0,0,0,0,3,0,0,2,0,0,2,0,24,0,0,0,0,0,0,0,2054,37,337,3
37,11/9/2022 - 17/9/2022,,0,0,1,0,0,0,0,0,545,0,1,1,128,0,0,0,3,0,0,0,0,2,4,1,0,1,0,0,1,0,18,0,0,0,0,0,0,0,2500,51,394,4
38,18/9/2022 - 24/9/2022,,0,0,1,0,0,0,0,0,472,0,0,1,130,0,0,0,7,0,0,0,2,1,3,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0,2516,50,389,3
39,25/9/2022 - 1/10/2022,,0,0,0,0,2,0,0,0,426,0,0,1,129,0,0,0,5,0,0,0,1,2,10,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2590,47,349,3
40,2/10/2022 - 8/10/2022,,0,0,0,0,0,0,0,0,398,0,0,1,115,0,0,0,4,0,0,0,0,0,6,1,1,0,0,0,1,1,27,0,0,0,0,0,0,0,2865,46,340,3
41,9/10/2022 - 15/10/2022,,0,0,0,0,2,0,0,0,376,0,0,1,108,0,0,0,3,0,0,0,0,2,6,1,0,0,1,0,2,0,27,0,0,0,0,0,0,0,3514,40,351,3
42,16/10/2022 - 22/10/2022,,1,0,0,2,1,0,0,0,373,0,0,0,86,0,0,0,4,0,0,0,0,2,7,0,1,2,0,0,4,0,23,0,0,0,0,0,0,0,3342,46,328,3
43,23/10/2022 - 29/10/2022,,0,1,1,1,1,0,0,0,313,1,0,0,58,0,0,0,4,0,0,0,0,2,6,0,1,2,0,0,0,0,20,0,0,0,0,0,0,0,3142,56,369,2
44,30/10/2022 - 5/11/2022,,0,0,2,1,1,0,0,0,318,1,1,3,75,0,1,0,7,0,0,0,1,0,8,0,1,3,0,0,2,0,26,0,1,0,0,0,0,0,2595,51,371,3
45,6/11/2022 - 12/11/2022,,0,0,2,0,0,0,0,0,294,0,0,1,88,0,0,0,2,0,0,0,0,0,7,0,3,1,0,0,1,0,30,0,0,0,0,0,0,0,2294,51,393,4
46,13/11/2022 - 19/11/2022,,1,1,0,2,1,0,0,0,313,3,0,2,81,0,0,0,2,0,0,0,0,0,7,0,3,1,0,0,1,0,31,0,0,0,0,0,0,0,2184,46,348,3
47,20/11/2022 - 26/11/2022,,0,1,2,2,2,0,0,0,267,0,0,0,77,0,0,0,4,0,0,0,1,0,12,0,3,2,0,1,3,0,34,0,0,0,0,0,0,0,2111,54,351,5
48,27/11/2022 - 3/12/2022,,0,0,1,1,3,0,0,0,242,0,1,1,63,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2009,49,331,5
49,4/12/2022 - 10/12/2022,,0,0,0,0,1,0,0,0,326,1,1,0,85,0,1,0,1,0,0,0,0,0,9,0,3,0,0,0,3,0,19,0,0,0,0,0,0,0,1989,57,355,4
50,11/12/2022 - 17/12/2022,,0,0,0,0,1,0,0,0,289,1,1,1,91,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,16,0,0,0,0,0,0,1,2092,47,325,4
51,18/12/2022 - 24/12/2022,,0,0,0,3,3,0,0,0,272,0,0,0,75,0,0,0,3,0,0,0,1,0,11,2,0,1,0,1,3,0,23,0,0,0,0,0,0,0,2168,61,326,6
52,25/12/2022 - 31/12/2022,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
