Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,4,1,     0.0,     0.0,     0.0,     0.0,    28.8,    34.0,    25.8,     5.3,    25.9
Changi,2022,4,2,    11.6,     9.4,     9.4,     9.6,    27.8,    32.2,    24.7,     5.6,    31.5
Changi,2022,4,3,     0.0,     0.0,     0.0,     0.0,    27.4,    30.8,    24.8,     5.0,    24.1
Changi,2022,4,4,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    24.4,     5.6,    24.1
Changi,2022,4,5,     0.0,     0.0,     0.0,     0.0,    28.1,    30.7,    26.6,     8.1,    29.6
Changi,2022,4,6,    11.6,     8.4,    10.0,    11.2,    27.6,    33.3,    23.8,     6.3,    40.7
Changi,2022,4,7,     1.0,     0.4,     0.6,     0.8,    26.5,    28.1,    25.0,     5.0,    20.4
Changi,2022,4,8,     0.0,     0.0,     0.0,     0.0,    27.4,    32.9,    25.0,     6.5,    33.3
Changi,2022,4,9,     3.2,     3.2,     3.2,     3.2,    26.7,    29.4,    23.5,     5.8,    35.2
Changi,2022,4,10,     5.6,     4.2,     4.2,     5.6,    27.1,    32.4,    25.6,     5.2,    27.8
Changi,2022,4,11,     2.8,     1.2,     1.8,     2.8,    27.1,    31.8,    25.6,     4.5,    24.1
Changi,2022,4,12,     0.0,     0.0,     0.0,     0.0,    28.6,    32.0,    25.0,     5.3,    22.2
Changi,2022,4,13,     0.0,     0.0,     0.0,     0.0,    28.2,    31.4,    26.4,     5.2,    31.5
Changi,2022,4,14,     0.6,     0.6,     0.6,     0.6,    28.8,    32.5,    24.0,     7.0,    27.8
Changi,2022,4,15,    35.2,    26.8,    33.4,    35.2,    28.6,    32.0,    23.8,     4.5,    35.2
Changi,2022,4,16,     7.8,     6.6,     7.6,     7.8,    28.8,    32.1,    23.6,     7.6,    37.0
Changi,2022,4,17,    58.8,    30.6,    47.8,    52.6,    28.7,    33.1,    24.6,     8.3,    57.4
Changi,2022,4,18,     8.4,     1.8,     2.8,     4.6,    27.9,    33.1,    24.1,     7.6,    40.7
Changi,2022,4,19,    16.4,    12.2,    14.6,    16.2,    27.8,    32.9,    23.6,     5.4,    37.0
Changi,2022,4,20,     0.0,     0.0,     0.0,     0.0,    28.6,    32.7,    25.9,     6.8,    29.6
Changi,2022,4,21,    27.6,    20.2,    23.2,    25.8,    26.7,    29.1,    23.1,     4.4,    24.1
Changi,2022,4,22,     0.0,     0.0,     0.0,     0.0,    28.9,    33.5,    25.5,     9.0,    27.8
Changi,2022,4,23,     0.0,     0.0,     0.0,     0.0,    29.4,    33.4,    26.8,     6.9,    37.0
Changi,2022,4,24,     0.0,     0.0,     0.0,     0.0,    29.3,    32.7,    26.7,     7.9,    31.5
Changi,2022,4,25,     0.4,     0.4,     0.4,     0.4,    29.0,    32.6,    26.7,     6.8,    29.6
Changi,2022,4,26,     0.0,     0.0,     0.0,     0.0,    28.7,    31.1,    26.2,     5.6,    22.2
Changi,2022,4,27,    20.4,    11.0,    15.2,    19.0,    27.7,    32.8,    25.0,     5.6,    25.9
Changi,2022,4,28,    22.8,    12.4,    20.6,    22.6,    28.1,    33.0,    24.9,     5.6,    29.6
Changi,2022,4,29,     3.6,     3.6,     3.6,     3.6,    28.4,    31.8,    26.2,     6.3,    25.9
Changi,2022,4,30,     1.8,     1.6,     1.6,     1.6,    28.3,    33.3,    25.2,     5.4,    20.4
