Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,2,1,     0.0,     0.0,     0.0,     0.0,    28.2,    32.6,    25.6,    12.9,    33.3
Changi,2022,2,2,     0.0,     0.0,     0.0,     0.0,    28.4,    33.2,    25.2,     9.3,    29.6
Changi,2022,2,3,     0.2,     0.2,     0.2,     0.2,    28.7,    33.6,    25.7,    12.7,    35.2
Changi,2022,2,4,     0.0,     0.0,     0.2,     0.2,    28.7,    33.3,    26.5,    14.5,    38.9
Changi,2022,2,5,     0.8,     0.4,     0.4,     0.4,    27.9,    32.7,    25.7,    12.8,    46.3
Changi,2022,2,6,    20.6,     3.4,     6.0,     8.4,    26.2,    29.0,    24.2,     6.5,    27.8
Changi,2022,2,7,     0.8,     0.6,     0.6,     0.8,    26.5,    30.1,    24.8,     7.6,    31.5
Changi,2022,2,8,     1.6,     0.6,     0.8,     1.0,    26.7,    30.8,    24.3,     7.6,    25.9
Changi,2022,2,9,    29.6,     9.0,    14.4,    16.6,    26.3,    31.5,    24.6,     6.3,    27.8
Changi,2022,2,10,    19.6,     2.8,     5.0,     7.4,    24.6,    25.5,    23.7,     5.3,    20.4
Changi,2022,2,11,     3.8,     1.2,     2.0,     2.4,    25.5,    29.1,    23.3,     5.9,    27.8
Changi,2022,2,12,     0.0,     0.0,     0.0,     0.0,    27.4,    31.6,    24.1,     9.8,    31.5
Changi,2022,2,13,    20.6,    12.4,    18.4,    20.6,    27.4,    32.2,    23.7,     7.9,    29.6
Changi,2022,2,14,     1.2,     1.2,     1.2,     1.2,    27.6,    31.0,    25.4,     9.0,    29.6
Changi,2022,2,15,     0.0,     0.0,     0.0,     0.0,    28.1,    31.9,    26.4,    12.0,    35.2
Changi,2022,2,16,    16.4,    12.6,    15.2,    15.2,    26.1,    28.0,    22.6,     5.7,    33.3
Changi,2022,2,17,     0.0,     0.0,     0.0,     0.0,    27.8,    31.5,    24.5,     9.3,    29.6
Changi,2022,2,18,     0.0,     0.0,     0.0,     0.0,    28.6,    32.3,    26.4,    11.8,    29.6
Changi,2022,2,19,     5.0,     4.2,     4.8,     4.8,    27.9,    31.5,    26.2,     8.2,    29.6
Changi,2022,2,20,    12.2,    10.6,    12.0,    12.2,    27.3,    32.9,    23.5,     6.9,    25.9
Changi,2022,2,21,     0.0,     0.0,     0.0,     0.0,    28.2,    32.3,    25.7,    11.0,    35.2
Changi,2022,2,22,     0.0,     0.0,     0.0,     0.0,    28.1,    32.2,    25.3,     9.3,    29.6
Changi,2022,2,23,     0.0,     0.0,     0.0,     0.0,    27.5,    31.8,    25.1,     9.1,    31.5
Changi,2022,2,24,    17.0,     4.6,     7.0,     9.2,    25.6,    28.4,    23.5,     8.6,    29.6
Changi,2022,2,25,    25.0,    22.0,    25.0,    25.0,    27.0,    32.6,    23.2,     8.3,    35.2
Changi,2022,2,26,     0.0,     0.0,     0.0,     0.0,    26.6,    29.8,    24.5,     7.3,    24.1
Changi,2022,2,27,     0.6,     0.6,     0.6,     0.6,    27.2,    31.0,    24.9,    10.9,    31.5
Changi,2022,2,28,     0.0,     0.0,     0.0,     0.0,    28.0,    32.4,    25.2,    12.5,    37.0
