Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2023,2,1,     0.0,     0.0,     0.0,     0.0,    26.7,    30.7,    24.1,     9.1,    37.0
Changi,2023,2,2,     1.4,     1.2,     1.2,     1.2,    27.0,    31.4,    24.1,    10.7,    37.0
Changi,2023,2,3,     2.8,     2.6,     2.8,     2.8,    26.8,    31.1,    23.6,    10.0,    35.2
Changi,2023,2,4,    26.4,     6.4,     9.6,    11.8,    24.9,    28.3,    23.9,     7.9,    25.9
Changi,2023,2,5,     4.8,     4.2,     4.2,     4.4,    26.4,    31.6,    24.6,     8.4,    35.2
Changi,2023,2,6,     0.0,     0.0,     0.0,     0.0,    27.0,    31.9,    24.6,     7.4,    27.8
Changi,2023,2,7,     0.0,     0.0,     0.0,     0.0,    27.0,    31.4,    24.3,    11.5,    33.3
Changi,2023,2,8,     0.0,     0.0,     0.0,     0.0,    27.5,    31.1,    25.1,    14.4,    40.7
Changi,2023,2,9,     0.0,     0.0,     0.0,     0.0,    27.5,    31.0,    25.6,    12.4,    31.5
Changi,2023,2,10,     1.6,     1.4,     1.4,     1.6,    27.5,    31.8,    25.3,     9.8,    33.3
Changi,2023,2,11,     0.0,     0.0,     0.0,     0.0,    27.5,    31.0,    25.7,     9.9,    38.9
Changi,2023,2,12,    53.2,    17.0,    28.4,    42.8,    25.6,    30.5,    22.8,     7.6,    33.3
Changi,2023,2,13,    11.8,     7.8,    11.4,    11.6,    26.7,    31.7,    24.1,     6.6,    29.6
Changi,2023,2,14,    33.6,    20.8,    23.6,    26.0,    26.8,    32.0,    24.6,     9.6,    37.0
Changi,2023,2,15,    18.6,    16.8,    17.6,    18.2,    26.0,    29.4,    21.7,    12.6,    35.2
Changi,2023,2,16,     0.0,     0.0,     0.0,     0.0,    26.8,    30.6,    23.8,    11.4,    40.7
Changi,2023,2,17,     0.0,     0.0,     0.0,     0.0,    27.1,    30.9,    24.1,    12.6,    38.9
Changi,2023,2,18,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.2,    16.1,    42.6
Changi,2023,2,19,     0.0,     0.0,     0.0,     0.0,    28.0,    31.9,    25.8,    15.5,    40.7
Changi,2023,2,20,     1.6,     1.4,     1.4,     1.6,    27.2,    31.4,    25.5,    10.9,    35.2
Changi,2023,2,21,     0.0,     0.0,     0.0,     0.0,    27.5,    31.3,    25.0,    15.7,    40.7
Changi,2023,2,22,     0.0,     0.0,     0.0,     0.0,    27.5,    30.9,    25.5,    14.8,    38.9
Changi,2023,2,23,     0.0,     0.0,     0.0,     0.0,    27.6,    31.5,    25.8,    14.5,    40.7
Changi,2023,2,24,     0.0,     0.0,     0.0,     0.0,    27.9,    31.1,    25.8,    15.5,    38.9
Changi,2023,2,25,     0.0,     0.0,     0.0,     0.0,    27.3,    31.0,    24.8,    13.7,    40.7
Changi,2023,2,26,    12.2,     7.8,    11.4,    12.2,    27.3,    31.2,    24.1,    17.4,    48.2
Changi,2023,2,27,     1.6,     0.8,     8.6,    12.2,    26.7,    30.6,    24.5,    13.5,    50.0
Changi,2023,2,28,   154.8,    19.2,    31.6,    43.8,    24.9,    28.4,    22.0,     8.9,    38.9
