Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2023,1,1,     0.0,     0.0,     0.0,     0.0,    27.2,    30.6,    25.3,     9.8,    31.5
Changi,2023,1,2,     0.0,     0.0,     0.0,     0.0,    27.4,    31.6,    25.1,    11.6,    38.9
Changi,2023,1,3,     6.0,     6.0,     6.0,     6.0,    27.4,    31.8,    24.4,     9.3,    37.0
Changi,2023,1,4,     2.6,     1.4,     1.8,     1.8,    26.2,    28.6,    23.9,     9.0,    37.0
Changi,2023,1,5,     0.2,     0.2,     0.2,     0.2,    27.1,    31.3,    25.2,     6.3,    27.8
Changi,2023,1,6,     0.0,     0.0,     0.0,     0.0,    28.0,    33.6,    25.5,     8.2,    29.6
Changi,2023,1,7,     3.8,     3.6,     3.8,     3.8,    27.6,    32.4,    25.5,     8.6,    31.5
Changi,2023,1,8,     0.0,     0.0,     0.0,     0.0,    28.2,    34.2,    25.3,     7.8,    29.6
Changi,2023,1,9,     0.0,     0.0,     0.0,     0.0,    27.3,    30.8,    25.2,     8.4,    31.5
Changi,2023,1,10,     3.0,     3.0,     3.0,     3.0,    27.2,    31.0,    25.3,     7.5,    27.8
Changi,2023,1,11,     6.8,     6.4,     6.4,     6.6,    26.0,    29.2,    24.3,     8.4,    46.3
Changi,2023,1,12,     0.0,     0.0,     0.0,     0.0,    27.6,    31.9,    24.4,     9.1,    27.8
Changi,2023,1,13,     5.0,     4.8,     4.8,     5.0,    27.2,    32.2,    24.2,     7.0,    29.6
Changi,2023,1,14,     0.6,     0.6,     0.6,     0.6,    27.2,    32.2,    24.9,     7.0,    27.8
Changi,2023,1,15,     0.0,     0.0,     0.0,     0.0,    27.5,    32.5,    25.4,     6.1,    27.8
Changi,2023,1,16,     0.0,     0.0,     0.0,     0.0,    27.6,    31.6,    25.2,    12.2,    40.7
Changi,2023,1,17,     0.0,     0.0,     0.0,     0.0,    28.0,    32.1,    25.3,    12.6,    38.9
Changi,2023,1,18,     0.4,     0.4,     0.4,     0.4,    27.4,    31.1,    25.1,    13.6,    44.4
Changi,2023,1,19,    18.0,     8.0,     8.6,    13.0,    26.2,    29.5,    24.3,    10.3,    38.9
Changi,2023,1,20,    25.4,     6.4,     7.4,    11.2,    25.7,    28.8,    24.3,     7.5,    27.8
Changi,2023,1,21,     0.4,     0.4,     0.4,     2.4,    27.4,    31.5,    24.9,    10.1,    40.7
Changi,2023,1,22,     9.8,     3.2,     4.2,     4.6,    26.7,    30.1,    24.2,     8.2,    33.3
Changi,2023,1,23,    44.8,    12.8,    20.4,    33.4,    25.5,    28.2,    24.0,     6.1,    31.5
Changi,2023,1,24,    42.8,     4.8,     6.4,    10.2,    24.1,    25.4,    22.9,     6.7,    24.1
Changi,2023,1,25,    72.0,    20.2,    24.0,    30.8,    23.9,    25.1,    22.9,     8.2,    44.4
Changi,2023,1,26,     8.8,     2.8,     4.0,     5.6,    24.9,    27.2,    23.4,     7.5,    25.9
Changi,2023,1,27,     0.2,     0.2,     0.2,     0.2,    27.0,    31.3,    24.2,     9.6,    35.2
Changi,2023,1,28,    10.6,     1.4,     2.0,     3.2,    24.2,    25.1,    23.5,    10.0,    42.6
Changi,2023,1,29,    19.6,     3.0,     5.2,     9.2,    24.3,    25.7,    22.4,    13.7,    44.4
Changi,2023,1,30,     2.6,     0.8,     1.4,     1.6,    25.6,    29.2,    24.1,    12.1,    48.2
Changi,2023,1,31,    19.2,    11.8,    14.8,    16.8,    25.0,    27.0,    23.6,    10.3,    35.2
