Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,8,1,     0.2,     0.2,     0.2,     0.2,    28.2,    32.1,    26.0,     7.3,    24.1
Changi,2022,8,2,    16.0,     7.0,     9.8,    12.6,    27.2,    31.2,    24.2,     8.6,    33.3
Changi,2022,8,3,     0.0,     0.0,     0.0,     0.0,    27.2,    29.7,    25.2,     6.1,    29.6
Changi,2022,8,4,     1.0,     0.4,     0.6,     0.8,    26.8,    29.3,    25.3,     5.6,    27.8
Changi,2022,8,5,     0.0,     0.0,     0.0,     0.0,    27.8,    30.8,    25.6,     6.6,    25.9
Changi,2022,8,6,     0.0,     0.0,     0.0,     0.0,    28.8,    32.2,    25.9,     7.9,    29.6
Changi,2022,8,7,     0.0,     0.0,     0.0,     0.0,    28.9,    31.1,    27.5,     9.3,    29.6
Changi,2022,8,8,     0.0,     0.0,     0.0,     0.0,    29.5,    32.0,    27.7,    13.9,    31.5
Changi,2022,8,9,     0.0,     0.0,     0.0,     0.0,    29.5,    32.8,    27.4,    11.7,    35.2
Changi,2022,8,10,     0.0,     0.0,     0.0,     0.0,    29.6,    32.4,    27.3,    12.7,    37.0
Changi,2022,8,11,     0.0,     0.0,     0.0,     0.0,    30.0,    33.2,    27.8,    12.0,    29.6
Changi,2022,8,12,     0.0,     0.0,     0.0,     0.0,    29.5,    32.4,    28.0,    12.6,    44.4
Changi,2022,8,13,    32.4,    26.8,    32.2,    32.4,    28.1,    31.4,    24.0,     7.2,    33.3
Changi,2022,8,14,     0.0,     0.0,     0.0,     0.0,    28.6,    32.7,    25.7,     7.2,    35.2
Changi,2022,8,15,     0.0,     0.0,     0.0,     0.0,    29.1,    31.4,    27.5,     6.7,    25.9
Changi,2022,8,16,     1.0,     1.0,     1.0,     1.0,    28.0,    30.7,    25.4,     5.9,    24.1
Changi,2022,8,17,     0.0,     0.0,     0.0,     0.0,    29.1,    32.4,    26.7,    11.7,    42.6
Changi,2022,8,18,     0.0,     0.0,     0.0,     0.0,    29.4,    32.6,    27.7,    13.7,    40.7
Changi,2022,8,19,    10.0,     9.8,    10.0,    10.0,    28.5,    31.8,    25.1,    11.4,    53.7
Changi,2022,8,20,    11.8,     6.8,     7.6,     7.6,    27.9,    31.9,    25.9,     9.3,    40.7
Changi,2022,8,21,     6.6,     4.2,     5.6,     6.4,    26.7,    29.3,    24.0,     6.5,    29.6
Changi,2022,8,22,     0.0,     0.0,     0.0,     0.0,    28.8,    31.9,    26.4,     9.7,    29.6
Changi,2022,8,23,     2.8,     1.2,     1.6,     1.8,    27.4,    30.5,    25.6,     8.4,    35.2
Changi,2022,8,24,     6.4,     5.2,     6.0,     6.2,    27.5,    31.1,    24.2,     6.2,    35.2
Changi,2022,8,25,    13.6,     5.4,     5.4,     6.4,    27.5,    30.3,    23.7,    11.4,    38.9
Changi,2022,8,26,     3.6,     1.4,     1.6,     1.6,    26.7,    28.3,    25.0,     6.7,    31.5
Changi,2022,8,27,    28.2,     9.8,    13.2,    18.8,    26.4,    31.5,    23.8,     5.6,    27.8
Changi,2022,8,28,     0.0,     0.0,     0.0,     2.2,    27.2,    30.5,    24.7,     4.8,    24.1
Changi,2022,8,29,     2.8,     1.4,     1.8,     2.0,    26.9,    29.3,    24.7,     4.6,    31.5
Changi,2022,8,30,     5.0,     3.8,     3.8,     3.8,    27.0,    29.5,    25.4,     7.6,    35.2
Changi,2022,8,31,     0.0,     0.0,     0.0,     0.0,    28.4,    31.3,    25.9,     8.2,    25.9
