Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,5,1,     0.0,     0.0,     0.0,     0.0,    28.9,    32.6,    27.1,     5.1,    24.1
Changi,2022,5,2,     3.6,     2.8,     2.8,     3.6,    28.2,    30.9,    24.8,     7.0,    44.4
Changi,2022,5,3,     3.8,     1.4,     2.4,     3.8,    28.6,    31.6,    24.7,     7.6,    33.3
Changi,2022,5,4,     1.0,     0.4,     0.6,     0.8,    28.6,    30.9,    24.9,     8.3,    29.6
Changi,2022,5,5,     0.0,     0.0,     0.0,     0.0,    29.2,    31.6,    27.7,     6.9,    22.2
Changi,2022,5,6,     0.0,     0.0,     0.0,     0.0,    29.9,    33.3,    27.8,     9.0,    27.8
Changi,2022,5,7,     1.4,     0.6,     0.6,     0.8,    28.2,    32.1,    25.9,     9.0,    40.7
Changi,2022,5,8,     1.4,     0.4,     0.6,     0.8,    28.2,    30.2,    25.3,     9.5,    33.3
Changi,2022,5,9,     1.4,     1.4,     1.4,     1.4,    29.7,    32.8,    27.0,    14.4,    37.0
Changi,2022,5,10,     0.0,     0.0,     0.0,     0.0,    30.2,    33.4,    27.7,    12.6,    37.0
Changi,2022,5,11,     9.0,     3.6,     4.6,     7.4,    28.0,    30.7,    25.0,     4.9,    29.6
Changi,2022,5,12,     0.0,     0.0,     0.0,     0.0,    30.0,    34.8,    26.9,     6.5,    33.3
Changi,2022,5,13,     0.0,     0.0,     0.0,     0.0,    29.7,    34.1,    26.6,     7.0,    22.2
Changi,2022,5,14,     0.0,     0.0,     0.0,     0.0,    29.9,    33.4,    27.9,    10.7,    31.5
Changi,2022,5,15,     1.0,     1.0,     1.0,     1.0,    28.9,    33.4,    25.0,     8.6,    38.9
Changi,2022,5,16,     0.0,     0.0,     0.0,     0.0,    28.1,    33.5,    25.9,     6.7,    33.3
Changi,2022,5,17,     0.0,     0.0,     0.0,     0.0,    29.4,    32.7,    26.2,     7.1,    25.9
Changi,2022,5,18,     0.0,     0.0,     0.0,     0.0,    30.2,    33.2,    27.4,     9.7,    29.6
Changi,2022,5,19,     0.0,     0.0,     0.0,     0.0,    28.7,    32.9,    27.1,     7.9,    29.6
Changi,2022,5,20,     0.4,     0.4,     0.4,     0.4,    28.4,    32.5,    25.2,     4.6,    35.2
Changi,2022,5,21,    29.4,    29.0,    29.2,    29.2,    28.4,    33.0,    23.5,     6.9,    51.9
Changi,2022,5,22,     0.0,     0.0,     0.0,     0.0,    29.4,    32.5,    27.3,     6.5,    27.8
Changi,2022,5,23,     5.0,     3.0,     3.6,     4.8,    29.1,    33.4,    24.9,     8.7,    33.3
Changi,2022,5,24,     0.0,     0.0,     0.0,     0.0,    29.4,    33.7,    25.6,     8.4,    31.5
Changi,2022,5,25,    44.6,    30.8,    38.8,    42.0,    28.3,    34.2,    23.8,     7.3,    33.3
Changi,2022,5,26,     0.0,     0.0,     0.0,     0.0,    28.4,    32.8,    24.8,     5.5,    24.1
Changi,2022,5,27,     0.0,     0.0,     0.0,     0.0,    29.7,    33.6,    26.9,     6.3,    25.9
Changi,2022,5,28,     0.0,     0.0,     0.0,     0.0,    29.6,    33.5,    27.4,     6.2,    27.8
Changi,2022,5,29,     0.0,     0.0,     0.0,     0.0,    30.7,    35.4,    27.6,     5.8,    27.8
Changi,2022,5,30,     0.0,     0.0,     0.0,     0.0,    30.1,    34.5,    27.4,     7.9,    25.9
Changi,2022,5,31,     0.0,     0.0,     0.0,     0.0,    29.9,    32.7,    27.7,     7.5,    29.6
