Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,3,1,     0.0,     0.0,     0.0,     0.0,    28.1,    32.2,    25.8,    10.2,    35.2
Changi,2022,3,2,    11.2,     6.6,    10.6,    11.2,    27.3,    32.6,    23.4,     8.9,    31.5
Changi,2022,3,3,     2.2,     1.0,     2.0,     2.0,    27.6,    32.9,    24.6,     7.7,    33.3
Changi,2022,3,4,     0.0,     0.0,     0.0,     0.0,    28.0,    32.5,    26.0,     9.0,    37.0
Changi,2022,3,5,     7.0,     4.4,     6.4,     7.0,    27.3,    33.7,    23.5,     6.0,    27.8
Changi,2022,3,6,     3.6,     1.8,     2.6,     3.4,    27.0,    30.6,    25.4,     4.8,    18.5
Changi,2022,3,7,     1.2,     1.0,     1.0,     1.2,    27.8,    33.0,    26.0,     8.4,    29.6
Changi,2022,3,8,     0.0,     0.0,     0.0,     0.0,    28.3,    32.2,    25.5,     7.8,    29.6
Changi,2022,3,9,     0.0,     0.0,     0.0,     0.0,    28.2,    31.7,    26.2,    11.5,    33.3
Changi,2022,3,10,     0.8,     0.6,     0.6,     0.6,    27.8,    32.1,    24.7,    11.8,    40.7
Changi,2022,3,11,     4.4,     2.4,     2.4,     4.4,    28.0,    32.7,    25.9,     8.4,    25.9
Changi,2022,3,12,     0.0,     0.0,     0.0,     0.0,    28.2,    33.0,    25.3,    10.0,    35.2
Changi,2022,3,13,     0.0,     0.0,     0.0,     0.0,    28.5,    33.8,    24.8,     8.9,    25.9
Changi,2022,3,14,     0.0,     0.0,     0.0,     0.0,    28.6,    31.8,    26.8,    10.0,    27.8
Changi,2022,3,15,    29.8,    11.8,    22.4,    29.0,    26.7,    32.3,    23.8,     6.3,    31.5
Changi,2022,3,16,     0.4,     0.4,     0.4,     0.4,    28.1,    31.9,    25.2,     7.4,    25.9
Changi,2022,3,17,     9.6,     7.2,     8.0,     8.2,    27.6,    31.5,    24.2,     5.9,    38.9
Changi,2022,3,18,     0.8,     0.6,     0.8,     0.8,    27.9,    33.5,    26.1,     6.6,    27.8
Changi,2022,3,19,     0.0,     0.0,     0.0,     0.0,    28.7,    33.0,    26.2,     7.2,    27.8
Changi,2022,3,20,     0.0,     0.0,     0.0,     0.0,    28.4,    31.6,    25.0,     8.1,    33.3
Changi,2022,3,21,     2.6,     2.4,     2.6,     2.6,    28.6,    33.0,    23.0,     6.9,    37.0
Changi,2022,3,22,     5.0,     5.0,     5.0,     5.0,    28.6,    31.8,    26.0,    10.2,    27.8
Changi,2022,3,23,     0.4,     0.4,     0.4,     0.4,    28.6,    32.3,    26.7,     7.0,    33.3
Changi,2022,3,24,    23.2,    22.6,    23.2,    23.2,    28.3,    34.2,    24.4,     7.3,    25.9
Changi,2022,3,25,    22.4,    20.2,    20.6,    22.4,    28.7,    33.6,    24.4,     7.5,    33.3
Changi,2022,3,26,     0.2,     0.2,     0.2,     0.2,    28.3,    33.9,    25.4,     6.6,    24.1
Changi,2022,3,27,     0.2,     0.2,     0.2,     0.2,    28.4,    33.2,    25.2,     7.4,    27.8
Changi,2022,3,28,    36.2,    23.0,    24.4,    28.6,    27.7,    33.4,    24.1,     6.3,    37.0
Changi,2022,3,29,     1.2,     1.2,     1.2,     1.2,    28.2,    33.0,    24.0,     7.9,    31.5
Changi,2022,3,30,     0.0,     0.0,     0.0,     0.0,    29.1,    33.7,    26.2,     7.3,    25.9
Changi,2022,3,31,     0.8,     0.8,     0.8,     0.8,    28.2,    32.8,    24.8,     5.8,    48.2
