Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,9,1,0,0,0,0,28.7,32.5,26.6,6.8,35.2
Changi,2022,9,2,2.4,1.2,1.8,2.4,27.2,30.1,25,5.5,29.6
Changi,2022,9,3,0,0,0,0,28.4,32,26.7,7.9,35.2
Changi,2022,9,4,0.6,0.6,0.6,0.6,28.2,30.8,26.6,6.1,29.6
Changi,2022,9,5,0.2,0.2,0.2,0.2,27.5,32,24.8,7.7,42.6
Changi,2022,9,6,0,0,0,0,28.5,32.4,25.6,7.3,31.5
Changi,2022,9,7,1,0.8,0.8,1,27.5,30.9,25.6,6.2,27.8
Changi,2022,9,8,0,0,0,0,28.5,31.4,26.5,7.4,24.1
Changi,2022,9,9,7.8,4.2,5.2,7,27,30.6,25.1,7.3,22.2
Changi,2022,9,10,0,0,0,0,28.3,31.3,26.2,9.3,29.6
Changi,2022,9,11,0.4,0.2,0.2,0.2,27.9,31.3,25.5,8.6,40.7
Changi,2022,9,12,0,0,0,0.2,27.9,31.7,24.5,8.8,29.6
Changi,2022,9,13,0,0,0,0,27.7,31,26.4,7.2,31.5
Changi,2022,9,14,0,0,0,0,27.1,29.9,25.6,13.2,51.9
Changi,2022,9,15,0,0,0,0,28.2,31.7,26.1,6.7,33.3
Changi,2022,9,16,0,0,0,0,28.7,31.9,26,8.3,29.6
Changi,2022,9,17,5.8,4.8,4.8,4.8,28.2,30.5,25.7,6.8,42.6
Changi,2022,9,18,21.6,4.4,8.2,10.2,25.9,27.8,23.5,6.2,31.5
Changi,2022,9,19,0,0,0,0,27.8,30.1,25.6,5.5,25.9
Changi,2022,9,20,5.6,4.8,5.4,5.6,27.3,29.4,23.6,5.5,29.6
Changi,2022,9,21,0,0,0,0,28.6,31.8,25.8,7.6,37
Changi,2022,9,22,5.8,3.2,3.4,4.6,26.9,29.9,23.8,7.7,42.6
Changi,2022,9,23,0,0,0,0,28.8,32,26.5,7.1,25.9
Changi,2022,9,24,1.4,1,1,1,28.1,30.6,25,6.3,27.8
Changi,2022,9,25,38.2,22.2,31.4,35.4,26.9,30.1,22.7,7.8,38.9
Changi,2022,9,26,0,0,0,0,28.2,30.4,26.6,8.1,35
Changi,2022,9,27,0,0,0,0,28.4,31.5,25.7,5.9,27.4
Changi,2022,9,28,0.6,0.6,0.6,0.6,28.9,32.6,25.7,5.6,27.4
Changi,2022,9,29,29.6,21.4,29,29.6,27.9,30.9,22.4,6.9,29.8
Changi,2022,9,30,0,0,0,0,28.7,32.4,26.4,9.5,42.4
