Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,6,1,     0.0,     0.0,     0.0,     0.0,    29.1,    32.1,    26.8,     6.9,    27.8
Changi,2022,6,2,     0.0,     0.0,     0.0,     0.0,    28.2,    32.5,    26.5,     7.4,    27.8
Changi,2022,6,3,    59.4,    32.4,    55.4,    58.8,    27.9,    30.7,    23.6,     5.2,    42.6
Changi,2022,6,4,    12.4,    10.2,    11.6,    12.2,    28.6,    31.8,    23.7,     7.1,    29.6
Changi,2022,6,5,     1.6,     1.2,     1.4,     1.4,    27.9,    31.9,    25.0,     5.1,    33.3
Changi,2022,6,6,     2.6,     2.6,     2.6,     2.6,    28.4,    31.2,    24.7,     8.0,    27.8
Changi,2022,6,7,     7.2,     4.0,     5.6,     6.6,    27.3,    29.5,    24.5,     3.5,    22.2
Changi,2022,6,8,     8.6,     6.0,     8.6,     8.6,    28.2,    33.6,    25.1,     6.0,    29.6
Changi,2022,6,9,    18.0,    14.8,    16.2,    17.8,    27.3,    31.4,    23.9,     5.3,    38.9
Changi,2022,6,10,     0.0,     0.0,     0.0,     0.0,    28.8,    32.5,    26.0,     4.8,    29.6
Changi,2022,6,11,    39.0,    29.6,    35.6,    39.0,    27.0,    32.1,    22.9,     5.9,    29.6
Changi,2022,6,12,     0.0,     0.0,     0.0,     0.0,    27.7,    30.2,    26.0,     6.2,    25.9
Changi,2022,6,13,     3.2,     2.4,     2.4,     2.4,    27.8,    31.9,    23.9,     5.2,    22.2
Changi,2022,6,14,     0.0,     0.0,     0.0,     0.0,    28.5,    31.2,    26.1,     6.5,    37.0
Changi,2022,6,15,     0.2,     0.2,     0.2,     0.2,    28.4,    31.5,    26.6,     5.6,    27.8
Changi,2022,6,16,     2.8,     0.8,     1.4,     1.4,    26.9,    30.0,    25.2,     6.6,    24.1
Changi,2022,6,17,     0.0,     0.2,     0.4,     1.0,    28.0,    30.5,    25.5,     6.6,    22.2
Changi,2022,6,18,     0.0,     0.0,     0.0,     0.0,    27.9,    31.7,    25.9,     5.5,    29.6
Changi,2022,6,19,     1.6,     1.6,     1.6,     1.6,    27.8,    31.2,    25.3,     4.2,    33.3
Changi,2022,6,20,    15.8,     6.4,     9.4,    12.6,    26.5,    27.5,    24.0,     5.3,    31.5
Changi,2022,6,21,     0.0,     0.0,     0.0,     0.0,    27.6,    30.0,    26.2,     6.0,    25.9
Changi,2022,6,22,     0.0,     0.0,     0.0,     0.0,    28.0,    30.4,    26.5,     8.5,    33.3
Changi,2022,6,23,    10.2,     6.6,     8.4,     8.6,    27.4,    31.1,    25.2,     6.1,    35.2
Changi,2022,6,24,     1.2,     1.2,     1.2,     1.2,    27.8,    31.1,    25.7,     6.2,    27.8
Changi,2022,6,25,    17.0,     8.2,     9.4,    16.8,    26.8,    28.7,    23.5,     4.9,    29.6
Changi,2022,6,26,     0.0,     0.0,     0.0,     0.0,    28.7,    31.9,    26.6,     9.8,    29.6
Changi,2022,6,27,     0.0,     0.0,     0.0,     0.0,    29.1,    32.4,    27.1,     8.0,    37.0
Changi,2022,6,28,     0.0,     0.0,     0.0,     0.0,    28.1,    32.0,    25.6,     6.4,    33.3
Changi,2022,6,29,     0.0,     0.0,     0.0,     0.0,    28.8,    31.8,    26.6,     6.6,    29.6
Changi,2022,6,30,    11.0,     5.6,     9.8,    10.6,    27.2,    29.6,    23.9,     7.3,    44.4
