Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,10,1,15,11.8,14.6,14.6,27.6,32.9,23.3,5.7,25.2
Changi,2022,10,2,13.2,3.4,5.8,6.4,27.5,32.9,23.7,6.7,28.2
Changi,2022,10,3,0.2,0.2,0.2,0.2,26.8,30,25.1,5.2,27.4
Changi,2022,10,4,1,1,1,1,27,30.4,25.1,5.6,22.4
Changi,2022,10,5,31.8,26.4,30,31.2,26.8,29.4,23.8,5.4,21.3
Changi,2022,10,6,3.4,1.8,2.8,3,26.7,31.5,24.7,0.4,38.9
Changi,2022,10,7,5.4,1.6,2.2,3.2,25.7,29,24.5,6.9,28.2
Changi,2022,10,8,0.2,0.2,0.2,0.2,27.5,31.4,24.6,7.6,25.2
Changi,2022,10,9,0,0,0,0,28,32.5,25.4,6.1,31.7
Changi,2022,10,10,7.6,6.4,6.6,7.6,26.9,28.9,23.7,4.4,35
Changi,2022,10,11,5.8,4.6,5.2,5.6,28.1,31.6,24.4,7.2,28.2
Changi,2022,10,12,2.8,2,2,2,26.9,30.4,24,7.2,30.2
Changi,2022,10,13,0,0,0,0,28.9,33.4,25.6,5.7,28.5
Changi,2022,10,14,1.2,1.2,1.2,1.2,28.2,31.5,25.8,7.6,40.4
Changi,2022,10,15,1.2,1.2,1.2,1.2,28.6,33.1,26.5,7.6,28.2
Changi,2022,10,16,24.8,7.2,10.2,13.4,27.3,31.6,23.5,5.9,29.4
Changi,2022,10,17,11,6.6,8.4,10.4,27.8,31.4,24.1,6.1,31.7
Changi,2022,10,18,0,0,0,0,28.7,31.6,26,5.2,22
Changi,2022,10,19,2,1.6,2,2,28.7,31.4,26.4,7,26.7
Changi,2022,10,20,0.2,0.2,0.2,0.2,29.4,33,27,8.5,25.2
Changi,2022,10,21,25.8,16.2,21,23.4,26.6,29.8,23.1,2.8,29.4
Changi,2022,10,22,22,17,19,19.2,26.4,31.8,24.3,6.5,27
Changi,2022,10,23,0.4,0.2,0.4,0.6,27.1,31.1,24.3,6.3,21.7
Changi,2022,10,24,1.6,0.6,0.8,1.2,27.4,29.8,25.9,6.7,27.8
Changi,2022,10,25,38.6,23.8,32.6,35.2,27.1,31.3,23.1,6.3,25.9
Changi,2022,10,26,0.2,0.2,0.2,0.2,26.7,29.7,24.9,6.7,28.5
Changi,2022,10,27,0.6,0.4,0.4,0.4,28.3,33.3,25,8.9,29.8
Changi,2022,10,28,6,5.2,5.2,5.2,28.2,34.6,24.5,8.1,29.1
Changi,2022,10,29,0,0,0,0,28.2,32.7,25.4,6.5,29.1
Changi,2022,10,30,38.8,19.4,20,37.8,27.4,31.3,23.2,-,37.8
Changi,2022,10,31,18.8,20.6,27,40.6,27.4,32.2,23.1,6.5,28.9
